Sample_number	N	Tick_Genus	Tick_species	Gender	Life_stage	Parasite	Bloodmeal	Animal host1	Animal host2	latitude	longtitude	colletion_date	Ecological_enviroment1	Ecological_enviroment2	Multiple_50km	Multiple_100km	meanpres	meanwind	meantemp	meanhum1	ssd	meanmaxtem	maxprec	meanmintem	meanprec	Zone_4	Zone_5	Clade	Clade_filtered	Province	Shannon_OTU95	Simpson_OTU95	OTU_new_Shannon_verfam2	OTU_new_Simpson_verfam2	Total_p1	Total_p2	Total_p4	Total_normalized	Total_vefam_normalized	Virus_rmEVE5_normalized	Excluded_lib	OTU_new_OV_verfam1	OTU_new_Chao1_verfam1	OTU_new_Shannon_verfam1	OTU_new_Simpson_verfam1	OTU_new_OV_verfam3	OTU_new_Chao1_verfam3	OTU_new_Shannon_verfam3	OTU_new_Simpson_verfam3	100km	10km	110km	120km	130km	140km	150km	160km	170km	180km	190km	200km	20km	30km	40km	50km	60km	70km	80km	90km	Jingmen_tick_virus_p5	Alongshan_virus_p5	Tamdy_virus_p5	Beiji_nairovirus_p5	Nairobi sheep_disease_virus_p5	Yezo_virus_p5	Thogoto_thogotovirus_p5	Songling_virus_p5	Severe_fever_with_thrombocytopenia_syndrome_virus_p5	Tacheng_tick_virus_2_p5	Eyach_virus_p5	Total_p5
1285	13	4	15	1	1	2	1	2	2	109.5684586	28.42586613	07/03/2019	3	2	Single	Multiple	975.3729858	1.18561995	16.74469948	81.64160156	91.6855011	34.38740158	144.3670044	1.553650022	125.0139999	31	24	HL1	HLf1	Hunan	0.947054667	0.272435794	3.402161653	0.854113494	566.3198777	564.9149844	0	17436.06587	12.08947643	4583.963452	N	44	44	3.698094868	0.874489599	44	44	3.698094868	0.874489599	Multiple	Single	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Single	Single	Single	Single	Single	Single	Single	Single	0	0	0	0	0	0	0	0	0	0	0	0
1286	13	4	15	1	1	2	1	2	2	109.5684586	28.42586613	07/03/2019	3	2	Single	Multiple	975.3729858	1.18561995	16.74469948	81.64160156	91.6855011	34.38740158	144.3670044	1.553650022	125.0139999	38	31	HL1	HLf1	Hunan	0.924747652	0.24452373	3.553630627	0.864453199	867.9342472	867.1655277	0	14085.46727	15.54410756	3085.330641	N	49	49	3.793086087	0.878403083	49	49	3.793086087	0.878403083	Multiple	Single	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Single	Single	Single	Single	Single	Single	Single	Single	0	0	0	0	0	0	0	0	0	0	0	0
1287	13	4	15	1	1	2	1	2	2	109.5684586	28.42586613	07/03/2019	3	2	Single	Multiple	975.3729858	1.18561995	16.74469948	81.64160156	91.6855011	34.38740158	144.3670044	1.553650022	125.0139999	33	27	HL1	HLf1	Hunan	1.95690292	0.546531197	2.749860649	0.796997413	8890.605173	8874.181472	0.1380143	3550.55588	16.00965879	54053.85263	N	16	16	3.150052504	0.836066336	16	16	3.150052504	0.836066336	Multiple	Single	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Single	Single	Single	Single	Single	Single	Single	Single	0	0	0	0	0	0	0	0	0	0	0	0
1288	20	4	15	2	1	2	1	2	2	109.5684586	28.42586613	07/03/2019	3	2	Single	Multiple	975.3729858	1.18561995	16.74469948	81.64160156	91.6855011	34.38740158	144.3670044	1.553650022	125.0139999	33	27	HL1	HLf1	Hunan	0.831803736	0.21701091	3.316180815	0.830984358	735.2777865	733.6716235	0.019707522	20002.75038	13.23360092	2380.688347	N	49	49	3.668358814	0.85931733	49	49	3.668358814	0.85931733	Multiple	Single	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Single	Single	Single	Single	Single	Single	Single	Single	0	0	0	0	0	0	0	0	0	0	0	0
1289	20	4	15	2	1	2	1	2	2	109.5684586	28.42586613	07/03/2019	3	2	Single	Multiple	975.3729858	1.18561995	16.74469948	81.64160156	91.6855011	34.38740158	144.3670044	1.553650022	125.0139999	33	27	HL1	HLf1	Hunan	0.870929926	0.239693536	3.227708356	0.820803404	613.9560725	613.5835974	0.074495025	11724.66562	16.89972861	10.64214648	N	47	47	3.619081452	0.854241434	47	47	3.619081452	0.854241434	Multiple	Single	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Single	Single	Single	Single	Single	Single	Single	Single	0	0	0	0.042568585	0	0	0	0	0	0	0	0.042568585
1290	20	4	15	2	1	2	1	2	2	109.5684586	28.42586613	07/03/2019	3	2	Single	Multiple	975.3729858	1.18561995	16.74469948	81.64160156	91.6855011	34.38740158	144.3670044	1.553650022	125.0139999	33	27	HL1	HLf1	Hunan	1.068540001	0.297989242	3.053133879	0.791644786	461.1969657	460.7354577	0.040131128	12395.16131	9.190028509	3385.562359	N	35	35	3.27665482	0.809394329	35	35	3.27665482	0.809394329	Multiple	Single	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Single	Single	Single	Single	Single	Single	Single	Single	0	0	0	0	0	0	0	0	0	0	0	0
270	10	4	15	1	1	1	1	4	4	113.9722222	31.94166667	06/09/2018	3	2	Single	Single	1003.919983	2.089459896	16.70350075	72.70410156	133.8910065	34.45909882	183.2299957	-2.063940048	88.14820099	33	26	HL5	HLf5	Henan	1.037424659	0.303583579	3.443781056	0.856256261	903.6156066	867.7583468	0.158240334	16837.83181	9.177939405	1228.277301	N	40	40	3.764412435	0.881125802	40	40	3.764412435	0.881125802	Single	Single	Single	Single	Single	Single	Single	Single	Single	Multiple	Multiple	Multiple	Single	Single	Single	Single	Single	Single	Single	Single	0	0	0	0.031648066	0	0	0	0	0	0	0	0.031648066
271	11	4	15	1	1	1	1	4	4	113.9722222	31.94166667	06/09/2018	3	2	Single	Single	1003.919983	2.089459896	16.70350075	72.70410156	133.8910065	34.45909882	183.2299957	-2.063940048	88.14820099	33	26	HL5	HLf5	Henan	0.932309435	0.280712366	3.479977177	0.863290174	787.0355606	752.4025327	0	20747.96545	7.718744001	9615.436515	N	36	36	3.753296473	0.880522721	36	36	3.753296473	0.880522721	Single	Single	Single	Single	Single	Single	Single	Single	Single	Multiple	Multiple	Multiple	Single	Single	Single	Single	Single	Single	Single	Single	0	0	0	0	0	0	0	0	0	0	0	0
221	12	4	15	1	1	1	1	4	4	125.70374	41.433494	05/01/2018	5	3	Multiple	Multiple	977.4160156	2.007400036	7.086780071	67.52179718	189.996994	30.00320053	120.2050018	-19.90430069	66.96269989	25	25	HL3	HLf3	Jilin	1.547532989	0.42684238	1.594502797	0.458748509	1089.421273	1085.418081	0	11162.03154	955.8674165	1271.671852	N	41	41	1.636179296	0.463588666	41	41	1.636179296	0.463588666	Multiple	Single	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Single	Single	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	0	0	0	0	0	0	0	0	0	0	0	0
222	20	4	15	2	1	1	1	4	4	125.70374	41.433494	05/01/2018	5	3	Multiple	Multiple	977.4160156	2.007400036	7.086780071	67.52179718	189.996994	30.00320053	120.2050018	-19.90430069	66.96269989	34	27	HL1	HLf1	Jilin	1.930257195	0.53283581	1.846747709	0.589008639	567.6533127	564.9500367	0	9349.384185	458.6558362	982.95276	N	33	33	1.923388973	0.596500827	33	33	1.923388973	0.596500827	Multiple	Single	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Single	Single	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	0	0	0	0	0	0	0	0	0	0	0	0
